State,Total population,Number in poverty,Margin of error (±) (34),Percent in poverty,Margin of error (±) (34),Year
Alabama,"5,001",744,139,14.9,2.8,2020
Alaska,708,95,16,13.4,2.2,2020
Arizona,"7,203",783,122,10.9,1.7,2020
Arkansas,"2,974",420,56,14.1,1.8,2020
California,"39,2","4,332",302,11.1,0.8,2020
Colorado,"5,717",546,144,9.5,2.5,2020
Connecticut,"3,545",396,80,11.2,2.3,2020
Delaware,991,104,22,10.5,2.2,2020
District of Columbia,680,114,14,16.8,2.0,2020
Florida,"21,51","2,854",267,13.3,1.2,2020
Georgia,"10,56","1,399",210,13.3,2.0,2020
Hawaii,"1,427",155,30,10.9,2.1,2020
Idaho,"1,862",170,27,9.1,1.4,2020
Illinois,"12,64","1,01",130,8.0,1.0,2020
Indiana,"6,685",807,127,12.1,1.9,2020
Iowa,"3,163",290,78,9.2,2.5,2020
Kansas,"2,891",267,79,9.3,2.7,2020
Kentucky,"4,454",621,108,13.9,2.4,2020
Louisiana,"4,545",704,70,15.5,1.6,2020
Maine,"1,366",109,31,8.0,2.3,2020
Maryland,"6,077",569,108,9.4,1.8,2020
Massachusetts,"6,943",586,92,8.4,1.3,2020
Michigan,"9,891","1,112",138,11.2,1.4,2020
Minnesota,"5,602",476,94,8.5,1.7,2020
Mississippi,"2,937",516,92,17.6,3.1,2020
Missouri,"6,044",647,112,10.7,1.8,2020
Montana,"1,08",118,17,10.9,1.6,2020
Nebraska,"1,953",162,27,8.3,1.3,2020
Nevada,"3,123",404,67,12.9,2.1,2020
New Hampshire,"1,387",87,21,6.2,1.5,2020
New Jersey,"9,119",744,134,8.2,1.5,2020
New Mexico,"2,064",343,40,16.6,2.0,2020
New York,"19,58","2,313",213,11.8,1.1,2020
North Carolina,"10,41","1,441",169,13.8,1.6,2020
North Dakota,761,81,14,10.7,1.8,2020
Ohio,"11,7","1,487",195,12.7,1.7,2020
Oklahoma,"3,885",604,97,15.5,2.5,2020
Oregon,"4,114",387,55,9.4,1.3,2020
Pennsylvania,"12,69","1,352",221,10.7,1.7,2020
Rhode Island,"1,086",93,21,8.5,2.0,2020
South Carolina,"5,11",684,110,13.4,2.2,2020
South Dakota,878,102,49,11.6,5.6,2020
Tennessee,"6,934",912,106,13.1,1.5,2020
Texas,"28,92","4,057",315,14.0,1.1,2020
Utah,"3,272",242,61,7.4,1.9,2020
Vermont,639,55,10,8.6,1.6,2020
Virginia,"8,501",663,121,7.8,1.4,2020
Washington,"7,585",625,127,8.2,1.6,2020
West Virginia,"1,76",249,53,14.2,3.0,2020
Wisconsin,"5,836",466,105,8.0,1.8,2020
Wyoming,561,55,11,9.7,1.9,2020
Alabama,"4,873",627,117,12.9,2.5,2019
Alaska,701,72,13,10.2,1.9,2019
Arizona,"7,285",725,151,9.9,2.1,2019
Arkansas,"2,915",412,59,14.1,2.1,2019
California,"39,38","3,98",295,10.1,0.7,2019
Colorado,"5,768",535,139,9.3,2.5,2019
Connecticut,"3,49",291,62,8.3,1.8,2019
Delaware,971,63,18,6.5,1.8,2019
District of Columbia,702,88,13,12.5,1.8,2019
Florida,"21,4","2,455",247,11.5,1.2,2019
Georgia,"10,36","1,249",187,12.1,1.8,2019
Hawaii,"1,365",115,28,8.4,2.1,2019
Idaho,"1,794",127,25,7.1,1.4,2019
Illinois,"12,5","1,16",160,9.3,1.3,2019
Indiana,"6,691",677,112,10.1,1.7,2019
Iowa,"3,137",298,57,9.5,1.8,2019
Kansas,"2,813",266,48,9.5,1.7,2019
Kentucky,"4,399",599,119,13.6,2.6,2019
Louisiana,"4,563",816,99,17.9,2.1,2019
Maine,"1,34",140,36,10.4,2.7,2019
Maryland,"6,067",424,107,7.0,1.8,2019
Massachusetts,"6,897",521,86,7.5,1.3,2019
Michigan,"9,901","1,007",168,10.2,1.7,2019
Minnesota,"5,681",322,76,5.7,1.3,2019
Mississippi,"2,911",560,96,19.2,3.4,2019
Missouri,"6,063",568,163,9.4,2.8,2019
Montana,"1,053",102,12,9.7,1.2,2019
Nebraska,"1,885",165,37,8.7,1.9,2019
Nevada,"3,105",323,49,10.4,1.6,2019
New Hampshire,"1,351",49,15,3.7,1.1,2019
New Jersey,"8,738",554,105,6.3,1.2,2019
New Mexico,"2,058",315,38,15.3,1.8,2019
New York,"19,07","2,382",235,12.5,1.2,2019
North Carolina,"10,47","1,324",158,12.7,1.5,2019
North Dakota,749,61,10,8.1,1.4,2019
Ohio,"11,51","1,424",194,12.4,1.7,2019
Oklahoma,"3,899",422,72,10.8,1.8,2019
Oregon,"4,135",336,72,8.1,1.8,2019
Pennsylvania,"12,55","1,092",149,8.7,1.2,2019
Rhode Island,"1,047",96,22,9.2,2.1,2019
South Carolina,"5,144",775,98,15.1,1.9,2019
South Dakota,860,91,19,10.6,2.2,2019
Tennessee,"6,721",879,185,13.1,2.7,2019
Texas,"28,67","3,174",288,11.1,1.0,2019
Utah,"3,232",236,76,7.3,2.4,2019
Vermont,615,53,12,8.6,1.9,2019
Virginia,"8,335",737,125,8.8,1.5,2019
Washington,"7,549",527,105,7.0,1.4,2019
West Virginia,"1,745",242,34,13.9,1.9,2019
Wisconsin,"5,73",479,92,8.4,1.6,2019
Wyoming,565,52,14,9.2,2.5,2019
Alabama,"4,877",779,107,16.0,2.1,2018
Alaska,720,94,15,13.1,2.0,2018
Arizona,"7,241",929,132,12.8,1.8,2018
Arkansas,"2,912",462,63,15.9,2.1,2018
California,"39,15","4,664",303,11.9,0.8,2018
Colorado,"5,739",521,84,9.1,1.5,2018
Connecticut,"3,413",348,71,10.2,2.1,2018
Delaware,976,72,15,7.4,1.6,2018
District of Columbia,692,102,13,14.7,1.8,2018
Florida,"21,12","2,883",285,13.7,1.3,2018
Georgia,"10,42","1,548",189,14.8,1.8,2018
Hawaii,"1,393",128,26,9.2,1.8,2018
Idaho,"1,766",202,41,11.5,2.3,2018
Illinois,"12,59","1,292",214,10.3,1.6,2018
Indiana,"6,582",761,112,11.6,1.6,2018
Iowa,"3,11",277,49,8.9,1.6,2018
Kansas,"2,835",212,44,7.5,1.5,2018
Kentucky,"4,445",696,125,15.7,2.8,2018
Louisiana,"4,51",858,63,19.0,1.5,2018
Maine,"1,321",153,31,11.6,2.3,2018
Maryland,"6,03",480,82,8.0,1.3,2018
Massachusetts,"6,883",601,97,8.7,1.5,2018
Michigan,"9,913","1,036",128,10.5,1.3,2018
Minnesota,"5,746",456,77,7.9,1.3,2018
Mississippi,"2,899",567,44,19.6,1.5,2018
Missouri,"6,026",745,133,12.4,2.3,2018
Montana,"1,041",107,20,10.3,2.0,2018
Nebraska,"1,893",199,41,10.5,2.1,2018
Nevada,"3,008",390,61,13.0,2.0,2018
New Hampshire,"1,349",82,18,6.1,1.3,2018
New Jersey,"8,79",725,107,8.2,1.2,2018
New Mexico,"2,054",342,44,16.6,2.1,2018
New York,"19,34","2,145",181,11.1,1.0,2018
North Carolina,"10,37","1,355",158,13.1,1.5,2018
North Dakota,745,72,15,9.7,2.0,2018
Ohio,"11,45","1,365",189,11.9,1.6,2018
Oklahoma,"3,858",518,79,13.4,2.0,2018
Oregon,"4,172",404,74,9.7,1.8,2018
Pennsylvania,"12,52","1,476",204,11.8,1.6,2018
Rhode Island,"1,036",92,25,8.9,2.3,2018
South Carolina,"5,036",642,74,12.8,1.5,2018
South Dakota,853,90,13,10.6,1.5,2018
Tennessee,"6,665",800,120,12.0,1.8,2018
Texas,"28,5","3,894",285,13.7,1.0,2018
Utah,"3,173",219,61,6.9,2.0,2018
Vermont,616,60,12,9.7,1.8,2018
Virginia,"8,393",821,141,9.8,1.6,2018
Washington,"7,555",647,166,8.6,2.1,2018
West Virginia,"1,762",279,35,15.9,2.0,2018
Wisconsin,"5,795",499,89,8.6,1.5,2018
Wyoming,565,53,10,9.5,1.8,2018
Alabama,"4,801",735,95,15.3,2.1,2017
Alaska,719,87,20,12.1,2.6,2017
Arizona,"6,981",951,171,13.6,2.5,2017
Arkansas,"2,921",436,54,14.9,1.8,2017
California,"39,25","4,759",299,12.1,0.8,2017
Colorado,"5,527",489,84,8.9,1.5,2017
Connecticut,"3,553",377,71,10.6,2.0,2017
Delaware,967,85,16,8.8,1.8,2017
District of Columbia,691,96,13,13.9,1.8,2017
Florida,"20,91","2,809",285,13.4,1.3,2017
Georgia,"10,23","1,339",171,13.1,1.6,2017
Hawaii,"1,402",149,28,10.6,2.0,2017
Idaho,"1,73",199,38,11.5,2.3,2017
Illinois,"12,6","1,454",168,11.5,1.3,2017
Indiana,"6,532",762,115,11.7,1.8,2017
Iowa,"3,053",230,54,7.5,1.8,2017
Kansas,"2,868",411,54,14.3,2.0,2017
Kentucky,"4,395",591,125,13.5,3.0,2017
Louisiana,"4,535",931,79,20.5,1.8,2017
Maine,"1,315",163,31,12.4,2.3,2017
Maryland,"5,977",451,95,7.6,1.6,2017
Massachusetts,"6,784",763,117,11.2,1.6,2017
Michigan,"9,895","1,135",145,11.5,1.5,2017
Minnesota,"5,619",479,94,8.5,1.6,2017
Mississippi,"2,948",544,44,18.5,1.5,2017
Missouri,"5,988",683,133,11.4,2.3,2017
Montana,"1,041",107,18,10.3,1.6,2017
Nebraska,"1,878",216,41,11.5,2.1,2017
Nevada,"2,979",392,61,13.2,2.0,2017
New Hampshire,"1,333",95,21,7.2,1.6,2017
New Jersey,"9,015",894,156,9.9,1.8,2017
New Mexico,"2,035",402,46,19.7,2.3,2017
New York,"19,74","2,51",232,12.7,1.2,2017
North Carolina,"10,3","1,567",158,15.2,1.6,2017
North Dakota,740,92,18,12.4,2.5,2017
Ohio,"11,49","1,479",161,12.9,1.5,2017
Oklahoma,"3,817",490,77,12.8,2.0,2017
Oregon,"4,202",482,90,11.5,2.3,2017
Pennsylvania,"12,57","1,373",155,10.9,1.3,2017
Rhode Island,"1,046",118,25,11.3,2.3,2017
South Carolina,"4,955",756,90,15.2,1.8,2017
South Dakota,870,93,25,10.7,2.8,2017
Tennessee,"6,699",759,107,11.3,1.6,2017
Texas,"28,09","3,715",306,13.2,1.2,2017
Utah,"3,13",272,56,8.7,1.8,2017
Vermont,613,53,10,8.6,1.6,2017
Virginia,"8,242",862,117,10.5,1.5,2017
Washington,"7,425",810,123,10.9,1.6,2017
West Virginia,"1,793",306,41,17.1,2.1,2017
Wisconsin,"5,809",537,67,9.2,1.2,2017
Wyoming,560,73,13,13.0,2.3,2017
Alabama,"4,821",782,104,16.2,2.1,2016
Alaska,708,89,20,12.6,2.8,2016
Arizona,"6,878","1,108",130,16.1,1.8,2016
Arkansas,"2,941",471,46,16.0,1.5,2016
California,"39,14","5,435",288,13.9,0.7,2016
Colorado,"5,502",467,84,8.5,1.5,2016
Connecticut,"3,567",351,74,9.8,2.1,2016
Delaware,947,110,20,11.6,2.1,2016
District of Columbia,685,112,12,16.3,1.6,2016
Florida,"20,52","2,659",206,13.0,1.0,2016
Georgia,"10,27","1,58",191,15.4,1.8,2016
Hawaii,"1,392",129,28,9.3,2.0,2016
Idaho,"1,679",187,28,11.1,1.6,2016
Illinois,"12,58","1,517",168,12.1,1.3,2016
Indiana,"6,493",768,110,11.8,1.6,2016
Iowa,"3,099",302,48,9.8,1.5,2016
Kansas,"2,859",321,54,11.2,2.0,2016
Kentucky,"4,383",667,94,15.2,2.1,2016
Louisiana,"4,573",923,76,20.2,1.6,2016
Maine,"1,317",167,31,12.7,2.3,2016
Maryland,"5,93",424,89,7.1,1.5,2016
Massachusetts,"6,775",649,92,9.6,1.3,2016
Michigan,"9,875","1,091",135,11.1,1.3,2016
Minnesota,"5,43",470,81,8.7,1.5,2016
Mississippi,"2,943",622,76,21.1,2.5,2016
Missouri,"5,878",762,120,13.0,2.0,2016
Montana,"1,031",121,16,11.7,1.6,2016
Nebraska,"1,87",179,43,9.6,2.3,2016
Nevada,"2,941",298,63,10.1,2.1,2016
New Hampshire,"1,316",84,18,6.4,1.3,2016
New Jersey,"8,836",828,135,9.4,1.5,2016
New Mexico,"2,043",364,54,17.8,2.6,2016
New York,"19,46","2,314",240,11.9,1.2,2016
North Carolina,"10,06","1,363",173,13.6,1.6,2016
North Dakota,749,83,15,11.1,2.0,2016
Ohio,"11,44","1,573",179,13.7,1.5,2016
Oklahoma,"3,911",571,120,14.6,3.1,2016
Oregon,"4,124",486,81,11.8,2.0,2016
Pennsylvania,"12,53","1,396",165,11.1,1.3,2016
Rhode Island,"1,052",119,25,11.4,2.3,2016
South Carolina,"4,898",690,99,14.1,2.0,2016
South Dakota,855,124,21,14.5,2.5,2016
Tennessee,"6,652",988,143,14.9,2.1,2016
Texas,"27,66","3,812",273,13.8,1.0,2016
Utah,"3,077",264,49,8.6,1.6,2016
Vermont,622,60,10,9.6,1.6,2016
Virginia,"8,163",929,137,11.4,1.6,2016
Washington,"7,289",800,99,11.0,1.3,2016
West Virginia,"1,808",326,51,18.0,2.8,2016
Wisconsin,"5,764",620,84,10.7,1.5,2016
Wyoming,571,62,12,10.9,2.0,2016
Alabama,"4,82",784,99,16.3,2.0,2015
Alaska,703,65,10,9.2,1.5,2015
Arizona,"6,728","1,156",138,17.2,2.1,2015
Arkansas,"2,951",475,44,16.1,1.5,2015
California,"39,08","5,441",347,13.9,0.8,2015
Colorado,"5,42",538,114,9.9,2.1,2015
Connecticut,"3,572",324,71,9.1,2.0,2015
Delaware,958,106,20,11.1,2.0,2015
District of Columbia,676,113,13,16.6,2.0,2015
Florida,"20,07","3,253",290,16.2,1.5,2015
Georgia,"10,1","1,833",183,18.1,1.8,2015
Hawaii,"1,382",151,26,10.9,1.8,2015
Idaho,"1,657",204,35,12.3,2.1,2015
Illinois,"12,68","1,38",171,10.9,1.3,2015
Indiana,"6,502",880,118,13.5,1.8,2015
Iowa,"3,1",321,64,10.4,2.1,2015
Kansas,"2,849",404,69,14.2,2.5,2015
Kentucky,"4,365",851,94,19.5,2.1,2015
Louisiana,"4,599",854,94,18.6,2.0,2015
Maine,"1,34",165,33,12.3,2.5,2015
Maryland,"5,892",566,115,9.6,2.0,2015
Massachusetts,"6,777",782,107,11.5,1.6,2015
Michigan,"9,852","1,259",161,12.8,1.6,2015
Minnesota,"5,458",428,95,7.8,1.8,2015
Mississippi,"2,947",563,54,19.1,1.8,2015
